crawl_date,city,forecast_time,hour_sort,temp_c,feels_like_c,temp_min_c,temp_max_c,pressure_hpa,humidity_pct,wind_speed_ms,wind_deg,cloudiness_pct,weather_main,weather_desc,pop,rain_3h_mm
2025-09-12,Bengaluru,14:30,14,25.6,25.76,25.6,25.6,1007,59,5.78,320,99,Rain,light rain,0.95,0.75
2025-09-12,Indore,14:30,14,28.71,31.45,28.71,28.71,1008,66,3.45,349,47,Rain,light rain,0.51,0.34
2025-09-12,Bengaluru,05:30,5,20.46,20.68,20.46,21.71,1010,81,3.98,299,99,Rain,light rain,0.54,0.76
2025-09-12,Bengaluru,11:30,11,26.35,26.35,26.35,26.35,1011,59,5.2,308,99,Rain,light rain,0.26,0.21
2025-09-12,Chennai,08:30,8,28.21,29.65,28.21,28.64,1007,59,3.96,265,93,Rain,light rain,0.37,0.2
2025-09-12,Kolkata,02:30,2,27.66,31.54,27.66,27.66,1005,82,1.74,207,99,Rain,light rain,0.74,0.72
2025-09-12,Kolkata,11:30,11,32.87,38.5,32.87,32.87,1007,58,3.92,118,88,Rain,light rain,0.44,0.55
2025-09-12,Indore,17:30,17,26.5,26.5,26.5,26.5,1007,80,3.66,329,43,Rain,light rain,0.96,1.38
2025-09-12,Indore,20:30,20,23.2,23.9,23.2,23.2,1010,89,3.05,322,35,Rain,light rain,0.22,0.15
2025-09-12,Bhopal,17:30,17,29.93,36.63,29.93,29.93,1007,77,3.1,329,73,Rain,light rain,0.28,0.39
2025-09-12,Vadodara,17:30,17,30.51,33.83,30.51,30.51,1007,60,1.91,335,95,Rain,light rain,0.37,0.16
2025-09-12,Bhopal,20:30,20,24.47,25.17,24.47,24.47,1009,84,3,327,78,Rain,light rain,0.2,0.12
2025-09-12,Bhopal,14:30,14,30.31,34.33,30.31,30.31,1007,64,3.19,337,82,Rain,light rain,0.2,0.18
2025-09-12,Nagpur,08:30,8,24.21,25.06,24.21,24.35,1008,91,1.72,327,100,Rain,light rain,0.36,0.13
2025-09-12,Nagpur,11:30,11,25.92,26.81,25.92,25.92,1009,86,2.2,313,100,Rain,light rain,0.35,0.13
2025-09-12,Hyderabad,08:30,8,22.64,23.41,22.64,22.83,1009,94,5.62,324,100,Rain,light rain,0.26,0.11
2025-09-12,Chennai,11:30,11,29.4,30.92,29.4,29.4,1007,55,4.5,45,95,Clouds,overcast clouds,0.17,0
2025-09-12,Kolkata,05:30,5,27.56,31.42,27.35,27.56,1005,83,0.78,162,96,Clouds,overcast clouds,0.54,0
2025-09-12,Surat,14:30,14,29.58,32.8,29.58,29.58,1008,64,2.37,241,96,Clouds,overcast clouds,0.04,0
2025-09-12,Bengaluru,08:30,8,22.2,22.49,22.2,23.38,1011,77,5.05,310,99,Clouds,overcast clouds,0.01,0
2025-09-12,Chennai,14:30,14,28.79,30.83,28.79,28.79,1004,61,0.49,55,99,Clouds,overcast clouds,0.03,0
2025-09-12,Bengaluru,02:30,2,19.83,19.93,19.83,19.83,1010,79,3.48,304,100,Clouds,overcast clouds,0.08,0
2025-09-12,Chennai,02:30,2,27.36,28.81,27.36,27.36,1006,63,4.5,217,100,Clouds,overcast clouds,0.02,0
2025-09-12,Chennai,17:30,17,30,34.33,30,30,1005,67,3.07,128,100,Clouds,overcast clouds,0.04,0
