source_file,folder_path,crawl_date,crawl_time,city,forecast_date,forecast_time,temp_c,feels_like_c,temp_min_c,temp_max_c,pressure_hpa,humidity_pct,wind_speed_ms,wind_deg,cloudiness_pct,weather_main,weather_desc,pop,rain_3h_mm
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Delhi,2025-09-01,14:30:00,25.35,26.26,25.35,25.58,1000,89,5,100,100,Rain,light rain,0.35,0.12
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Delhi,2025-09-01,17:30:00,26.47,26.47,26.47,26.47,999,84,5.36,104,100,Rain,light rain,0.33,0.23
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Delhi,2025-09-01,20:30:00,24.96,25.86,24.96,24.96,1001,90,5.78,103,100,Rain,light rain,0.44,0.15
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Bengaluru,2025-09-01,08:30:00,23.05,23.66,23.05,23.05,1012,86,6.26,273,100,Rain,light rain,0.2,0.17
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Bengaluru,2025-09-01,11:30:00,24.04,24.59,24.04,26.03,1011,80,7.09,281,100,Rain,light rain,0.2,0.13
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Kolkata,2025-09-01,17:30:00,32.18,39.14,32.18,32.18,998,65,1.38,154,100,Rain,light rain,0.55,0.55
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Hyderabad,2025-09-01,17:30:00,24.57,25.04,24.57,24.57,1003,75,5.1,273,100,Rain,light rain,0.21,0.11
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Jaipur,2025-09-01,14:30:00,26.86,29.35,26.86,28.41,1000,79,6.02,264,100,Rain,light rain,0.93,0.55
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Lucknow,2025-09-01,11:30:00,27.53,30.47,27.15,27.53,1002,76,4.37,140,100,Rain,light rain,0.91,2.37
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Lucknow,2025-09-01,14:30:00,26.55,26.55,25.97,26.55,1001,68,3.41,154,100,Rain,light rain,0.78,0.67
